City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Tshikapa,CD,-6.42,20.8,81.45,34,78,0.78,broken clouds
83,Pangnirtung,CA,66.15,-65.71,51.8,87,75,12.75,broken clouds
84,Lavrentiya,RU,65.58,-171.0,44.98,74,82,8.23,broken clouds
85,Port-Gentil,GA,-0.72,8.78,77.0,78,75,13.89,broken clouds
86,Mahebourg,MU,-20.41,57.7,69.8,73,75,17.22,broken clouds
87,Kavieng,PG,-2.57,150.8,82.22,77,55,6.33,broken clouds
88,Mecca,SA,21.43,39.83,92.3,47,62,6.91,broken clouds
89,Saint-Philippe,RE,-21.36,55.77,69.8,60,90,12.75,overcast clouds
90,La Union,PE,-5.4,-80.75,80.92,44,24,12.33,few clouds
91,Pitimbu,BR,-7.47,-34.81,77.0,88,75,13.87,broken clouds
92,Bell Ville,AR,-32.63,-62.69,82.0,47,20,7.0,few clouds
93,Aklavik,CA,68.22,-135.01,51.8,93,90,5.82,overcast clouds
94,Camrose,CA,53.02,-112.84,79.0,64,20,8.05,few clouds
95,Nadvoitsy,RU,63.87,34.32,53.2,81,23,4.79,few clouds
96,Qaanaaq,GL,77.48,-69.36,38.97,80,99,12.75,overcast clouds
97,Khetia,IN,21.67,74.58,81.01,83,100,8.72,light rain
98,Poum,NC,-20.23,164.02,69.24,60,83,7.78,broken clouds
99,Panguna,PG,-6.32,155.48,66.87,100,1,2.04,clear sky
100,Kitgum,UG,3.28,32.89,67.33,90,27,4.79,scattered clouds
101,Nuuk,GL,64.18,-51.72,48.2,93,90,4.7,overcast clouds
102,Puerto Ayora,EC,-0.74,-90.35,75.2,69,75,16.11,broken clouds
103,Ponta Do Sol,PT,32.67,-17.1,73.0,69,5,6.15,clear sky
104,Sena Madureira,BR,-9.07,-68.66,96.69,27,0,2.57,clear sky
105,Weligama,LK,5.97,80.42,78.12,87,67,9.15,light rain
106,Chapais,CA,49.78,-74.85,77.0,57,75,2.24,broken clouds
107,College,US,64.86,-147.8,66.2,72,75,8.05,broken clouds
108,Moyale,KE,3.52,39.06,70.74,61,38,19.51,scattered clouds
109,Krasnyy Oktyabr,RU,56.12,38.88,54.41,87,95,3.96,overcast clouds
110,Georgetown,MY,5.41,100.34,84.2,79,20,4.7,few clouds
111,Caravelas,BR,-17.71,-39.25,74.89,67,12,11.68,light rain
112,Sitka,US,57.05,-135.33,57.2,87,90,5.82,mist
113,Bulgan,MN,48.81,103.53,55.2,77,100,4.36,overcast clouds
114,Lagoa,PT,39.05,-27.98,71.67,72,34,11.36,scattered clouds
115,Cherskiy,RU,68.75,161.3,47.35,79,100,2.77,overcast clouds
116,Komsomolskiy,UZ,40.43,71.72,77.0,41,0,6.93,clear sky
117,Hirado,JP,33.36,129.55,77.0,86,71,1.01,broken clouds
118,Kamphaeng Phet,TH,16.48,99.52,75.56,97,100,7.63,moderate rain
119,Ossora,RU,59.24,163.07,52.86,72,35,4.97,scattered clouds
120,Port Hardy,CA,50.7,-127.42,59.0,93,75,2.24,light rain
121,Hobart,AU,-42.88,147.33,46.4,75,75,11.41,light rain
122,Rahimatpur,IN,17.6,74.2,72.61,88,92,18.7,light rain
123,Idaho Falls,US,43.47,-112.03,86.0,37,1,5.82,clear sky
124,Victoria,HK,22.29,114.16,79.0,93,100,1.99,moderate rain
125,Matagami,CA,49.75,-77.63,59.0,87,90,11.41,overcast clouds
126,Anchorage,US,61.22,-149.9,60.01,87,90,3.36,overcast clouds
127,Tabou,CI,4.42,-7.35,75.96,73,57,6.85,broken clouds
128,Atchison,US,39.56,-95.12,78.8,73,90,10.29,overcast clouds
129,Guapore,BR,-28.85,-51.89,80.01,59,22,1.88,few clouds
130,Sandakan,MY,5.84,118.12,80.6,88,20,3.51,few clouds
131,Kamenka,RU,51.32,42.77,59.74,81,80,3.49,broken clouds
132,Jacmel,HT,18.23,-72.53,93.2,56,20,13.87,few clouds
133,Jacobina,BR,-11.18,-40.52,79.77,44,66,12.08,broken clouds
134,Kundiawa,PG,-6.02,144.97,59.85,79,64,1.95,broken clouds
135,Ilulissat,GL,69.22,-51.1,50.0,61,20,5.82,few clouds
136,Touros,BR,-5.2,-35.46,82.4,69,40,11.41,scattered clouds
137,Sakakah,SA,29.97,40.21,98.6,11,0,5.82,clear sky
138,Along,IN,28.17,94.77,75.78,88,42,0.74,scattered clouds
139,Auburn,US,47.31,-122.23,75.0,60,40,13.87,scattered clouds
140,Port Elizabeth,ZA,-33.92,25.57,59.0,58,0,3.36,clear sky
141,New Norfolk,AU,-42.78,147.06,46.0,85,99,1.01,light rain
142,Yar-Sale,RU,66.83,70.83,60.93,70,94,8.9,overcast clouds
143,Acaponeta,MX,22.5,-105.36,96.76,45,44,4.38,scattered clouds
144,A Coruna,ES,43.37,-8.4,66.99,72,40,10.29,scattered clouds
145,Ravar,IR,31.27,56.81,83.37,19,1,1.01,clear sky
146,East London,ZA,-33.02,27.91,71.78,27,0,7.85,clear sky
147,Fairbanks,US,64.84,-147.72,66.2,82,40,5.82,scattered clouds
148,Hami,CN,42.8,93.45,84.07,14,67,5.28,broken clouds
149,Cidreira,BR,-30.18,-50.21,66.58,61,77,8.79,broken clouds
150,Sioux Lookout,CA,50.1,-91.92,66.2,55,75,13.87,broken clouds
151,Buala,SB,-8.14,159.59,78.84,78,0,3.94,clear sky
152,Albany,US,42.6,-73.97,79.0,67,70,4.0,broken clouds
153,Montrose,US,38.42,-108.27,87.01,22,22,5.99,few clouds
154,Jackson,US,42.42,-122.83,81.0,41,1,3.42,clear sky
155,Kenora,CA,49.82,-94.43,68.0,52,75,10.29,broken clouds
156,Canavieiras,BR,-15.68,-38.95,74.44,73,3,9.91,light rain
157,Bengkulu,ID,-3.8,102.27,76.71,90,46,7.0,moderate rain
158,Hambantota,LK,6.12,81.12,80.19,78,83,16.62,broken clouds
159,San Ramon,US,37.78,-121.98,80.01,53,1,5.82,clear sky
160,Cairns,AU,-16.92,145.77,66.2,93,90,8.05,shower rain
161,Andros Town,BS,24.7,-77.77,86.0,79,75,21.92,shower rain
162,Kavaratti,IN,10.57,72.64,82.4,80,100,21.99,light rain
163,Hithadhoo,MV,-0.6,73.08,83.05,78,68,11.72,broken clouds
164,Batagay,RU,67.63,134.63,46.49,76,0,3.02,clear sky
165,Mechetinskaya,RU,46.77,40.46,66.94,59,75,7.02,broken clouds
166,Hamilton,US,39.18,-84.53,78.01,64,75,10.29,broken clouds
167,Bilibino,RU,68.05,166.44,44.89,75,93,2.44,overcast clouds
168,Ambunti,PG,-4.24,142.84,72.48,98,96,1.25,overcast clouds
169,Mezen,RU,65.85,44.24,50.56,96,100,11.5,light rain
170,Norman Wells,CA,65.28,-126.83,64.4,88,75,4.7,broken clouds
171,Skibotn,NO,69.39,20.27,60.8,67,2,6.93,clear sky
172,Guerrero Negro,MX,27.98,-114.06,83.93,49,70,13.91,broken clouds
173,Nikolskoye,RU,59.7,30.79,61.0,82,75,4.47,light intensity shower rain
