City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Aykhal,RU,2020-08-01 15:54:22,66.0,111.5,62.6,51,0,6.71
70,Koumac,NC,2020-08-01 15:54:22,-20.57,164.28,64.99,75,0,17.65
71,Senanga,ZM,2020-08-01 15:54:22,-16.12,23.27,73.54,19,0,6.2
72,Kaitangata,NZ,2020-08-01 15:54:22,-46.28,169.85,48.0,75,66,1.99
73,Methoni,GR,2020-08-01 15:54:23,36.82,21.7,93.0,38,20,5.82
74,Ribeira Grande,PT,2020-08-01 15:54:23,38.52,-28.7,75.2,69,20,5.82
75,Port Alfred,ZA,2020-08-01 15:54:23,-33.59,26.89,59.63,74,0,2.95
76,Tasiilaq,GL,2020-08-01 15:54:23,65.61,-37.64,53.6,55,20,5.82
77,Yantal,RU,2020-08-01 15:54:24,56.85,105.25,61.21,86,100,7.38
78,Kuytun,RU,2020-08-01 15:53:35,54.34,101.5,59.29,96,95,14.94
79,Coihaique,CL,2020-08-01 15:54:24,-45.58,-72.07,39.2,93,90,5.82
80,Fuxin,CN,2020-08-01 15:54:24,42.02,121.66,76.14,78,65,7.4
81,Pevek,RU,2020-08-01 15:54:24,69.7,170.31,36.09,96,100,1.88
82,Nanortalik,GL,2020-08-01 15:54:25,60.14,-45.24,46.65,83,67,14.25
83,Sur,OM,2020-08-01 15:54:25,22.57,59.53,85.98,67,0,11.36
84,Qostanay,KZ,2020-08-01 15:54:25,53.17,63.58,80.6,30,91,6.71
85,Lasa,IT,2020-08-01 15:54:25,46.62,10.7,78.8,39,40,3.09
86,Tilichiki,RU,2020-08-01 15:54:25,60.47,166.1,47.14,95,49,2.62
87,Lavrentiya,RU,2020-08-01 15:54:26,65.58,-171.0,40.21,81,0,7.76
88,Kalemie,CD,2020-08-01 15:54:26,-5.95,29.19,75.9,60,74,6.22
89,Baringo,KE,2020-08-01 15:54:26,0.47,35.97,76.06,52,47,7.14
90,Urdoma,RU,2020-08-01 15:54:27,61.75,48.54,55.04,86,59,0.89
91,Guasdualito,VE,2020-08-01 15:54:27,7.24,-70.73,84.2,74,75,3.36
92,Hithadhoo,MV,2020-08-01 15:54:27,-0.6,73.08,83.34,73,69,9.69
93,Antofagasta,CL,2020-08-01 15:54:27,-23.65,-70.4,60.8,59,20,8.05
94,Fairbanks,US,2020-08-01 15:51:47,64.84,-147.72,59.0,87,1,2.3
95,Usinsk,RU,2020-08-01 15:54:27,65.99,57.53,57.43,80,38,8.75
96,Shirokiy,RU,2020-08-01 15:54:28,49.76,129.52,68.52,96,62,7.23
97,Rocha,UY,2020-08-01 15:54:28,-34.48,-54.33,61.99,66,4,7.25
98,Hermanus,ZA,2020-08-01 15:53:42,-34.42,19.23,71.01,54,0,6.58
99,Chokurdakh,RU,2020-08-01 15:54:28,70.63,147.92,52.02,71,99,3.91
100,Tyret Pervaya,RU,2020-08-01 15:54:29,53.67,102.31,61.45,91,100,16.51
101,Ancud,CL,2020-08-01 15:53:32,-41.87,-73.82,52.0,87,90,17.22
102,Puerto Narino,CO,2020-08-01 15:54:29,-3.77,-70.38,86.0,66,34,6.93
103,Jamestown,US,2020-08-01 15:53:03,42.1,-79.24,77.0,69,1,9.17
104,Saldanha,ZA,2020-08-01 15:54:29,-33.01,17.94,77.0,31,0,5.82
105,Dehui,CN,2020-08-01 15:54:30,44.53,125.7,77.0,73,5,8.95
106,Kerrville,US,2020-08-01 15:54:30,30.05,-99.14,82.99,90,99,9.69
107,Abu Dhabi,AE,2020-08-01 15:50:48,24.47,54.37,104.0,56,20,11.41
108,Hami,CN,2020-08-01 15:54:31,42.8,93.45,83.71,14,1,16.46
109,Saint-Philippe,RE,2020-08-01 15:54:31,-21.36,55.77,71.6,73,75,10.29
110,Anadyr,RU,2020-08-01 15:53:54,64.75,177.48,50.0,81,75,8.95
111,Mitzic,GA,2020-08-01 15:54:31,0.78,11.55,84.85,50,98,0.4
112,Nosy Varika,MG,2020-08-01 15:54:32,-20.58,48.53,67.82,77,1,5.91
113,Airai,TL,2020-08-01 15:54:32,-8.93,125.41,53.11,85,2,3.67
114,Grindavik,IS,2020-08-01 15:54:32,63.84,-22.43,55.4,82,75,12.75
115,Margate,GB,2020-08-01 15:51:25,51.38,1.39,77.0,57,84,1.01
116,Sile,TR,2020-08-01 15:54:32,41.18,29.61,80.01,67,9,5.99
117,Yellowknife,CA,2020-08-01 15:54:32,62.46,-114.35,70.0,72,75,12.75
118,Codrington,AU,2020-08-01 15:54:33,-38.27,141.97,50.77,88,58,4.03
119,Saint-Augustin,CA,2020-08-01 15:53:46,51.23,-58.65,58.21,85,100,8.25
