City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
133,Jacobina,BR,79.77,broken clouds,-11.18,-40.52,HOSTEL JACOBINA
136,Touros,BR,82.4,scattered clouds,-5.2,-35.46,INN NEW HORIZON
137,Sakakah,SA,98.6,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
138,Along,IN,75.78,scattered clouds,28.17,94.77,Hotel West
139,Auburn,US,75.0,scattered clouds,47.31,-122.23,La Quinta Inn & Suites by Wyndham Auburn
143,Acaponeta,MX,96.76,scattered clouds,22.5,-105.36,Hotel Casa Blanca
145,Ravar,IR,83.37,clear sky,31.27,56.81,computertik
146,East London,ZA,71.78,clear sky,-33.02,27.91,Tu Casa
148,Hami,CN,84.07,broken clouds,42.8,93.45,Laoyutang Resort
151,Buala,SB,78.84,clear sky,-8.14,159.59,Maringe Lagoon Lodge
152,Albany,US,79.0,broken clouds,42.6,-73.97,
153,Montrose,US,87.01,few clouds,38.42,-108.27,
154,Jackson,US,81.0,clear sky,42.42,-122.83,Agate Village Apartments
156,Canavieiras,BR,74.44,light rain,-15.68,-38.95,Bahiadomizil
157,Bengkulu,ID,76.71,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
158,Hambantota,LK,80.19,broken clouds,6.12,81.12,Bungalow 63
159,San Ramon,US,80.01,clear sky,37.78,-121.98,San Ramon Marriott
161,Andros Town,BS,86.0,shower rain,24.7,-77.77,Hanks place
162,Kavaratti,IN,82.4,light rain,10.57,72.64,Bismillah Hotel And Lodging
163,Hithadhoo,MV,83.05,broken clouds,-0.6,73.08,Scoop Guest House
166,Hamilton,US,78.01,broken clouds,39.18,-84.53,Six Acres Bed & Breakfast
168,Ambunti,PG,72.48,overcast clouds,-4.24,142.84,Ambunti Lodge
172,Guerrero Negro,MX,83.93,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
174,Harlingen,US,88.0,broken clouds,26.19,-97.7,Courtyard by Marriott Harlingen
175,Digha,IN,86.18,overcast clouds,21.68,87.55,Khoniker Atithi
177,Ilebo,CD,84.02,broken clouds,-4.32,20.58,Hôtel des palmes
179,Kolosovka,RU,70.12,clear sky,56.47,73.61,Kolosovskaya Gostinitsa
183,Ischia,IT,84.0,clear sky,40.73,13.95,Hotel Ulisse
186,Santa Maria,BR,78.8,broken clouds,-29.68,-53.81,Hotel Morotin
187,Salalah,OM,82.4,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
188,Matara,LK,78.04,light rain,5.95,80.54,Amaloh Boutique Resort
191,Margate,GB,70.0,light rain,51.38,1.39,Premier Inn Margate hotel
196,Itarema,BR,85.57,few clouds,-2.92,-39.92,Windvillage
197,Camacha,PT,71.6,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
200,San Ignacio,BZ,89.6,broken clouds,17.16,-89.07,Rainforest Haven Inn
204,Bethel,US,79.0,light rain,41.37,-73.41,Courtyard by Marriott Danbury
206,Arari,BR,92.41,few clouds,-3.45,-44.78,Churrascaria E Hotel Brisa Do Mearim
210,Sarangani,PH,77.81,light rain,5.4,125.46,Ballistic Islet
212,Half Moon Bay,US,72.0,scattered clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
214,Thompson,CA,73.4,few clouds,55.74,-97.86,Burntwood Hotel
215,Tambacounda,SN,82.4,few clouds,13.75,-13.76,
216,Mulege,MX,93.33,broken clouds,26.88,-111.98,Casa Granada
218,Cabo San Lucas,MX,91.99,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
221,Lhokseumawe,ID,78.33,overcast clouds,5.18,97.15,OYO 3278 Penginapan Alfajri
222,Nantucket,US,77.0,clear sky,41.28,-70.1,Jared Coffin House
223,Hasaki,JP,70.0,few clouds,35.73,140.83,Inubosaki Kanko Hotel
225,Tautira,PF,78.8,broken clouds,-17.73,-149.15,Pension Oaoa
226,Kyaikto,MM,78.91,heavy intensity rain,17.3,97.02,သက်တန့်အိမ်
228,Bambous Virieux,MU,70.0,broken clouds,-20.34,57.76,Casa Tia Villa
230,Nouadhibou,MR,75.2,clear sky,20.93,-17.03,El Medina
232,Trat,TH,77.09,moderate rain,12.5,102.5,สวนหนิง-อัศ
234,Baikunthpur,IN,81.14,overcast clouds,23.25,82.55,New Shree Annpurna Lodge
235,Todos Santos,MX,81.0,broken clouds,23.45,-110.22,Hotel California Todos Santos
236,Sola,VU,76.26,scattered clouds,-13.88,167.55,Leumerus Bungalows
237,Mitsamiouli,KM,77.0,few clouds,-11.38,43.28,Foyer ADM
239,Aswan,EG,102.56,broken clouds,24.09,32.91,Nuba Nile
242,Makakilo City,US,80.6,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
243,Assiniboia,CA,78.51,scattered clouds,49.63,-105.98,Canalta Hotel Assiniboia
244,Sulangan,PH,83.59,overcast clouds,11.14,123.72,Maia's Beach Resort
246,Pangkalanbuun,ID,74.75,light rain,-2.68,111.62,Grand Kecubung Hotel
249,Mossendjo,CG,71.37,broken clouds,-2.95,12.73,HOTEL D'ASSISE
251,Crotone,IT,91.4,clear sky,39.09,17.12,Helios Hotel
252,Katsuura,JP,75.2,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
253,Puerto Del Rosario,ES,80.6,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
254,Villanueva De Cordoba,ES,104.0,clear sky,38.32,-4.63,Volao
256,Grand Gaube,MU,70.0,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
258,Bandarbeyla,SO,79.11,broken clouds,9.49,50.81,REER XOOSHLE GROUP
259,Jacareacanga,BR,100.36,few clouds,-6.22,-57.75,Casa do Ian😎
260,Kutum,SD,74.16,light rain,14.2,24.67,Dibbo areaمنطقة دبو
261,Manta,EC,82.4,broken clouds,-0.95,-80.73,Balandra Hotel
264,Meadow Lake,US,82.99,few clouds,34.8,-106.54,JKL Inc. R.V Park and Storage
266,Zhanaozen,KZ,82.76,scattered clouds,43.3,52.8,K.korabay 28A
267,Lorengau,PG,81.57,light rain,-2.02,147.27,Lorengau Harbourside Hotel
274,Tabas,IR,98.6,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
